Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Midgestational total 25-hydroxyvitamin D levels (antenatal blood),3,0,0,3,0,3
X-12824 levels,3,3,0,0,3,0
Bevacizumab-induced hypertension,3,3,0,0,3,0
aseg lh intensity Cerebellum-Cortex,3,3,0,0,3,0
aseg lh intensity Caudate,3,3,0,0,3,0
BACH1/SNX9 protein level ratio,3,3,0,0,3,0
BACH1/TBC1D5 protein level ratio,3,3,0,0,3,0
R amplitude of combined wave in lead V3,3,3,0,0,3,0
R amplitude of combined wave in lead V6,3,3,0,0,3,0
X-12170 levels,3,3,0,0,3,0
X-12221 levels,3,3,0,0,3,0
X-12748 levels,3,3,0,0,3,0
BAX/MAX protein level ratio,3,3,0,0,3,0
Serum levels of protein HS6ST1,3,3,0,0,3,0
TestASV_38 (Ruminococcus) prevalence,3,3,0,0,3,0
OTU99_558 (Bacteroidales) abundance,3,3,0,0,3,0
OTU99_47 (Prevotella) abundance,3,3,0,0,3,0
OTU99_65 (Sutterellaceae) prevalence,3,3,0,0,3,0
TestASV_19 (Prevotella) prevalence,3,3,0,0,3,0
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform levels",3,3,0,0,3,0
DNA mismatch repair protein Msh2 levels,3,3,0,0,3,0
Mitochondrial fission regulator 1 levels,3,3,0,0,3,0
BCAM/CDH5 protein level ratio,3,3,0,0,3,0
S amplitude of combined wave in lead II,3,3,0,0,3,0
Alcohol dependence (dominant genetic model),3,3,0,0,3,0
Penn alcohol craving scale in alcohol dependence (recessive genetic model),3,3,0,0,3,0
Umbelliferone sulfate levels,3,3,0,0,3,0
Ursodeoxycholate levels,3,3,0,0,3,0
Vanillic alcohol sulfate levels,3,3,0,0,3,0
Tyramine O-sulfate levels,3,3,0,0,3,0
Protein-L-isoaspartate(D-aspartate) O-methyltransferase levels,3,3,0,0,3,0
Prolactin-inducible protein levels,3,3,0,0,3,0
Phosphatidylinositol transfer protein beta isoform levels,3,3,0,0,3,0
Alzheimer's disease assessment scale (baseline),3,3,0,0,3,0
Serum levels of protein SEMG2,3,3,0,0,3,0
Serum levels of protein SERPINA1,3,3,0,0,3,0
Serum levels of protein SERPINE1,3,3,0,0,3,0
Serum levels of protein EBI3,3,3,0,0,3,0
Serum levels of protein ECE1,3,3,0,0,3,0
Multimerin-2 levels,3,3,0,0,3,0
Mevalonate kinase levels,3,3,0,0,3,0
Matrix-remodeling-associated protein 7 levels,3,3,0,0,3,0
Phenylalanine levels (UKB data field 23468),3,3,0,0,3,0
Colorectal cancer x cigarettes per day interaction (1df),3,3,0,0,3,0
Colorectal cancer x cigarettes per day interaction (3df),3,3,0,0,3,0
CLMP/TGFBR2 protein level ratio,3,3,0,0,3,0
Serum levels of protein SFTPC,3,3,0,0,3,0
PPL protein levels,3,3,0,0,3,0
PPM1B protein levels,3,3,0,0,3,0
PPME1 protein levels,3,3,0,0,3,0
OTU99_85 (Alistipes) prevalence,3,3,0,0,3,0
OTU99_72 (Parabacteroides) prevalence,3,3,0,0,3,0
TestASV_25 (Sutterella) prevalence,3,3,0,0,3,0
PPP1R14D protein levels,3,3,0,0,3,0
PPP1R9B protein levels,3,3,0,0,3,0
Creutzfeldt-Jakob disease,3,3,0,0,3,0
BCR/TXLNA protein level ratio,3,3,0,0,3,0
BCR/VASH1 protein level ratio,3,3,0,0,3,0
Serine/threonine-protein kinase BRSK2 levels,3,3,0,0,3,0
Hexanoylglutamine levels,3,1,2,0,3,2
Paradoxical eczema in biologic-treated plaque psoriasis,3,3,0,0,3,0
Peripheral artery disease or coronary artery disease or triglycerides (pleiotropy),3,3,0,0,3,0
Peripheral artery disease or LDL cholesterol (pleiotropy),3,3,0,0,3,0
Serum levels of protein DKK2,3,3,0,0,3,0
Serum levels of protein DLL3,3,3,0,0,3,0
Serum levels of protein DMKN,3,3,0,0,3,0
Serum levels of protein DNAJB11,3,3,0,0,3,0
Serum levels of protein SFRP2,3,3,0,0,3,0
COL6A3/NBL1 protein level ratio,3,3,0,0,3,0
COL6A3/SMOC2 protein level ratio,3,3,0,0,3,0
Metabolite peak levels (QI3783),3,3,0,0,3,0
Smoking behaviour (age at first cigarette),3,3,0,0,3,0
IDP dMRI TBSS L3 Superior cerebellar peduncle R,3,3,0,0,3,0
COLEC12/LAIR1 protein level ratio,3,3,0,0,3,0
Serum levels of protein HFE2,3,3,0,0,3,0
Serum levels of protein HLA-DRB3,3,3,0,0,3,0
ATP-dependent RNA helicase DHX8 levels,3,3,0,0,3,0
Serum levels of protein HPGDS,3,3,0,0,3,0
aparc-Desikan lh volume supramarginal,3,3,0,0,3,0
aparc-Desikan lh area fusiform,3,3,0,0,3,0
aparc-Desikan lh area postcentral,3,3,0,0,3,0
ACVRL1/TNFRSF9 protein level ratio,3,3,0,0,3,0
Phosphatidylethanolamine (36:4) levels,3,3,0,0,3,0
Oleoylcarnitine (C18:1) levels,3,1,2,0,3,2
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node2),3,0,3,0,3,3
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node5),3,0,3,0,3,3
3-hydroxysebacate levels,3,1,2,0,3,2
HIV-associated neurocognitive disorder,3,3,0,0,3,0
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node10),3,0,3,0,3,3
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node13),3,0,3,0,3,3
G_Phascolarctobacterium abundance,3,3,0,0,3,0
Facial morphology (segment 49),3,3,0,0,3,0
Serum levels of protein HBZ,3,3,0,0,3,0
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node22),3,0,3,0,3,3
Phosphatidylcholines (38:2) levels,3,3,0,0,3,0
21-hydroxypregnenolone monosulfate (1) levels,3,3,0,0,3,0
Venlafaxine response in generalised anxiety disorder (HAMA-A score reduction after 24 weeks),3,3,0,0,3,0
CHMP1A/USP8 protein level ratio,3,3,0,0,3,0
Congenital heart defects,3,3,0,0,3,0
CLEC1B/VTA1 protein level ratio,3,3,0,0,3,0
Left-hemisphere salience/ventral attention network to right-hemisphere control network white-matter structural connectivity,3,0,3,0,3,3
Left-hemisphere salience/ventral attention network to right-hemisphere default mode network white-matter structural connectivity,3,0,3,0,3,3
Left-hemisphere salience/ventral attention network to caudate white-matter structural connectivity,3,0,3,0,3,3
Chronic venous disease,3,3,0,0,3,0
Pathological gambling,3,3,0,0,3,0
Kidney disease (end stage renal disease vs non-end stage renal disease) in type 1 diabetes,3,3,0,0,3,0
Chronic kidney disease (severe chronic kidney disease vs normal kidney function) in type 1 diabetes,3,3,0,0,3,0
Processed meat related metabolomic signature,3,3,0,0,3,0
ITGA5/LILRA2 protein level ratio,3,3,0,0,3,0
Serum levels of protein PRSS8,3,3,0,0,3,0
Facial morphology (segment 57),3,3,0,0,3,0
Depression in multiple sclerosis (post-diagnosis),3,3,0,0,3,0
Depression in multiple sclerosis,3,3,0,0,3,0
OTU97_69 (Clostridiales) abundance,3,3,0,0,3,0
Sphingomyelin (d36:0) levels,3,3,0,0,3,0
Peak velocity of the mitral A-wave,3,3,0,0,3,0
Octadecanedioate (C18-DC) levels,3,2,1,0,3,1
Testosterone sulfate levels,3,3,0,0,3,0
Ovarian cancer in BRCA2 mutation carriers,3,3,0,0,3,0
HippSubfield lh volume GC-ML-DG-body,3,3,0,0,3,0
HippSubfield lh volume Whole-hippocampal-head,3,3,0,0,3,0
JAM2/TNFRSF19 protein level ratio,3,3,0,0,3,0
KAZALD1/VCAM1 protein level ratio,3,3,0,0,3,0
OTU99_4 (Alistipes) prevalence,3,3,0,0,3,0
OTU99_3 (Bacteroides) prevalence,3,3,0,0,3,0
OTU99_34 (Holdemanella) prevalence,3,3,0,0,3,0
PAXX protein levels,3,3,0,0,3,0
Serum levels of protein EIF4EBP2,3,3,0,0,3,0
Serum levels of protein IGF2R,3,3,0,0,3,0
CORO1A/TBC1D5 protein level ratio,3,3,0,0,3,0
LGMN/TIMP1 protein level ratio,3,3,0,0,3,0
aseg rh volume choroid-plexus,3,3,0,0,3,0
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node28),3,0,3,0,3,3
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node31),3,0,3,0,3,3
Interleukin-2 receptor subunit alpha levels,3,3,0,0,3,0
AmygNuclei rh volume Lateral-nucleus,3,3,0,0,3,0
AmygNuclei rh volume Paralaminar-nucleus,3,3,0,0,3,0
R peak area in lead aVF,3,3,0,0,3,0
R peak area in lead V6,3,3,0,0,3,0
4-acetylphenol sulfate levels,3,3,0,0,3,0
Prolargin levels,3,3,0,0,3,0
X-C motif chemokine ligand 1 levels,3,3,0,0,3,0
Docosahexaenoate (DHA; 22:6n3) levels,3,3,0,0,3,0
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node25),3,0,3,0,3,3
Serum levels of protein IGFBP7,3,3,0,0,3,0
Serum levels of protein IGFBPL1,3,3,0,0,3,0
Serum levels of protein SHANK3,3,3,0,0,3,0
Renal function and chronic kidney disease,3,3,0,0,3,0
Soluble E-selectin levels,3,3,0,0,3,0
OTU99_2 (Bacteroides) prevalence,3,3,0,0,3,0
6-oxopiperidine-2-carboxylic acid levels,3,3,0,0,3,0
Chenodeoxycholate levels,3,3,0,0,3,0
Cholate levels,3,3,0,0,3,0
Parkinson’s disease progression to dementia,3,3,0,0,3,0
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node48),3,0,3,0,3,3
Phosphatidylcholines (38:5)A levels,3,3,0,0,3,0
NCK2 protein levels,3,3,0,0,3,0
Serum levels of protein SIAE,3,3,0,0,3,0
Serum levels of protein SIGLEC14,3,3,0,0,3,0
Serum levels of protein SLITRK4,3,3,0,0,3,0
Phosphatidylcholines (40:5)A levels,3,3,0,0,3,0
Tumor necrosis factor receptor superfamily member 14 levels,3,3,0,0,3,0
BCAM/SEMA7A protein level ratio,3,3,0,0,3,0
First year height change in growth hormone-treated short stature,3,3,0,0,3,0
Gut microbiome abundance (class Blautia sp. 9 (at 1 year) x Exclusive Breastfeeding (3 Months) interaction,3,0,3,0,3,3
Chronic spontaneous urticaria,3,3,0,0,3,0
Phosphatidylcholines (36:5)B levels,3,3,0,0,3,0
1-linolenoyl-GPE (18:3) levels,3,3,0,0,3,0
Gut microbiome abundance (class UBA1819 sp. (at 1 year) x Summer Birth (Jun-Aug) interaction,3,0,3,0,3,3
Response to antioxidants and zinc in age-related macular degeneration (disease progression),3,3,0,0,3,0
BCAN/NPTXR protein level ratio,3,3,0,0,3,0
Serum levels of protein SMOC1,3,3,0,0,3,0
Serum levels of protein SMPD1,3,3,0,0,3,0
Serum levels of protein GZMB,3,3,0,0,3,0
Serum levels of protein HAAO,3,3,0,0,3,0
Serum levels of protein PSAP,3,3,0,0,3,0
OTU99_140 (Desulfovibrio) prevalence,3,3,0,0,3,0
TestASV_41 (Barnesiella) prevalence,3,3,0,0,3,0
TestASV_1 (Bacteroides) abundance,3,3,0,0,3,0
S and T amplitude difference lead aVR,3,3,0,0,3,0
Gut microbiome abundance (class Collinsella sp. 3 (at 1 year) x Winter Birth (Dec-Feb) interaction,3,0,3,0,3,3
Gut microbiome abundance (class Megasphaera micronuciformis (at 1 year) x Household furry pet cat or dog (1 Year) interaction,3,0,3,0,3,3
S and T amplitude difference lead I,3,3,0,0,3,0
S and T amplitude difference lead aVL,3,3,0,0,3,0
T amplitude of combined wave in lead V1,3,3,0,0,3,0
T amplitude of combined wave in lead V3,3,3,0,0,3,0
T amplitude of combined wave in lead V4,3,3,0,0,3,0
S begin-to-T end interval in lead aVR,3,3,0,0,3,0
Gut microbiome abundance (class Lachnospiraceae UCG-001 sp. 2 (at 1 year) x Exclusive Breastfeeding (6 Months) interaction,3,0,3,0,3,3
Gut microbial network clusters (Red (at 1 year) x Vaginal Birth interaction,3,0,3,0,3,3
Serum levels of protein MRPL33,3,3,0,0,3,0
Serum levels of protein MSR1,3,3,0,0,3,0
BCR/CLIP2 protein level ratio,3,3,0,0,3,0
Metabolite peak levels (QI68),3,3,0,0,3,0
T amplitude of combined wave in lead aVR,3,3,0,0,3,0
Gut microbiome abundance (class Clostridium sensu stricto sp. 14 (at 1 year) x Homesmokers interaction,3,0,3,0,3,3
Gut microbiome abundance (class Veillonella sp. 5 (at 1 year) x Vaginal Birth interaction,3,0,3,0,3,3
Ephrin type-A receptor 1 levels,3,2,1,0,3,1
CD80 on CD62L+ myeloid Dendritic Cell,3,3,0,0,3,0
CNDP1/EGFR protein level ratio,3,3,0,0,3,0
Left-hemisphere visual network to accumbens white-matter structural connectivity,3,0,3,0,3,3
Gut microbiome abundance (class Clostridium sensu stricto sp. 14 (at 1 year) x Household furry pet cat or dog (3 Months) interaction,3,0,3,0,3,3
Gut microbiome abundance (class Roseburia sp. 17 (at 1 year) x Winter Birth (Dec-Feb) interaction,3,0,3,0,3,3
Left-hemisphere somatomotor network to left-hemisphere default mode network white-matter structural connectivity,3,0,3,0,3,3
CLEC1A/GPR37 protein level ratio,3,3,0,0,3,0
CLEC1B/DAB2 protein level ratio,3,3,0,0,3,0
CLEC1B/DIABLO protein level ratio,3,3,0,0,3,0
PGR protein levels,3,3,0,0,3,0
PHLDB1 protein levels,3,3,0,0,3,0
OTU99_106 (Barnesiella) prevalence,3,3,0,0,3,0
Serum levels of protein SLC14A2,3,3,0,0,3,0
Serum levels of protein PSG2,3,3,0,0,3,0
CX3CR1 on CD14+ CD16+ monocyte,3,3,0,0,3,0
Metabolite peak levels (QI8984),3,3,0,0,3,0
Octadecenedioylcarnitine (C18:1-DC) levels,3,0,3,0,3,3
Cholic acid glucuronide levels,3,2,1,0,3,1
Lithocholate sulfate (1) levels,3,1,2,0,3,2
Programmed cell death protein 5 levels (PDCD5.12517.52.3),3,3,0,0,3,0
Prolargin levels (PRELP.5675.6.3),3,3,0,0,3,0
7-methylguanine levels,3,2,1,0,3,1
3-methylcytidine levels,3,0,3,0,3,3
Atopy,3,3,0,0,3,0
TestASV_47 (Parasutterella) prevalence,3,3,0,0,3,0
PSMG4 protein levels,3,3,0,0,3,0
PSMB8 protein levels,3,3,0,0,3,0
Gut microbiome abundance (class Lachnoclostridium sp. 15 (at 3 months) x Any Formula feeding (3 Months) interaction,3,0,3,0,3,3
Platelet-derived growth factor D levels (PDGFD.9341.1.3),3,3,0,0,3,0
Left-hemisphere visual network to left-hemisphere control network white-matter structural connectivity,3,0,3,0,3,3
Left-hemisphere visual network to right-hemisphere salience/ventral attention network white-matter structural connectivity,3,0,3,0,3,3
Fibronectin Fragment 4 levels,3,2,1,0,3,1
Galactoside 3(4)-L-fucosyltransferase levels,3,2,1,0,3,1
Glypican-5 levels,3,2,1,0,3,1
AZGP1 protein levels,3,3,0,0,3,0
Deoxycholate levels,3,3,0,0,3,0
Xanthosine levels,3,3,0,0,3,0
vWF levels in ischaemic stroke and hyperhomocysteinaemia,3,3,0,0,3,0
N-stearoyl-sphingosine (d18:1/18:0) levels,3,0,3,0,3,3
OTU97_15 (Parasutterella) prevalence,3,3,0,0,3,0
OTU97_17 (Parabacteroides) prevalence,3,3,0,0,3,0
OTU97_173 (Bacteroides) prevalence,3,3,0,0,3,0
TestASV_3 (Bacteroides) abundance,3,3,0,0,3,0
TestASV_30 (Paraprevotella) abundance,3,3,0,0,3,0
PSMD9 protein levels,3,3,0,0,3,0
(2 or 3)-decenoate (10:1n7 or n8) levels,3,0,3,0,3,3
2'-o-methyluridine levels,3,2,1,0,3,1
IL18BP/ROR1 protein level ratio,3,3,0,0,3,0
IL1R2/MEGF9 protein level ratio,3,3,0,0,3,0
Right-hemisphere somatomotor network to amygdala white-matter structural connectivity,3,0,3,0,3,3
Right-hemisphere salience/ventral attention network to right-hemisphere default mode network white-matter structural connectivity,3,0,3,0,3,3
Waist circumference adjusted for BMI (smoking interaction),3,0,3,0,3,3
"Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)",3,3,0,0,3,0
"5,6-dihydrothymine levels",3,2,1,0,3,1
Cytidine levels,3,1,2,0,3,2
Glycoprotein acetyls (mainly a1-acid glycoprotein),3,3,0,0,3,0
Granulocyte colony-stimulating factor levels,3,1,2,0,3,2
Survival in endocrine treated breast cancer (estrogen-receptor positive),3,3,0,0,3,0
Perceived skin darkness,3,3,0,0,3,0
Pyridoxal 5'-phosphate levels,3,3,0,0,3,0
Serum levels of protein MMP12,3,3,0,0,3,0
Melanoma-associated antigen 3 levels,3,3,0,0,3,0
Lactobacillus B abundance in stool,3,3,0,0,3,0
Serum levels of protein PLA2R1,3,3,0,0,3,0
Serum levels of protein IFIT2,3,3,0,0,3,0
ATP5IF1/DECR1 protein level ratio,3,3,0,0,3,0
Cyclo(leu-pro) levels,3,3,0,0,3,0
Phenylalanylphenylalanine levels,3,3,0,0,3,0
X-07765 levels,3,2,1,0,3,1
Asphyxia and hypoxemia (PheCode 1013),3,3,0,0,3,0
HLA DR on CD14+ CD16- monocyte,3,3,0,0,3,0
CD40 on CD14- CD16+ monocyte,3,3,0,0,3,0
HLA DR on CD14+ monocyte,3,3,0,0,3,0
Beta-endorphin levels (POMC.2558.51.3),3,3,0,0,3,0
Serum levels of protein MMP10,3,3,0,0,3,0
Oblique pelvic inlet length,3,3,0,0,3,0
Gut microbial network clusters (Aquamarine (at 1 year) x Older Siblings interaction,3,0,3,0,3,3
Drug-induced cholestatic/mixed liver injury,3,3,0,0,3,0
Drug-induced liver injury (anti-tuberculosis drugs),3,3,0,0,3,0
Factor XI,3,3,0,0,3,0
Gamma-glutamyltryptophan levels,3,2,1,0,3,1
CD3 on activated CD4 regulatory T cell,3,3,0,0,3,0
RILP/RWDD1 protein level ratio,3,3,0,0,3,0
RNF41/SH2B3 protein level ratio,3,3,0,0,3,0
Accelerometer measured moderate to vigorous physical activity,3,3,0,0,3,0
Gut microbiome abundance (class Veillonella atypica (at 3 months) x Spring Birth (Mar-May) interaction,3,0,3,0,3,3
Serum levels of protein MPZL2,3,3,0,0,3,0
OTU97_46 (Lachnospiraceae) prevalence,3,3,0,0,3,0
Plasma ANGPTL8 levels,3,3,0,0,3,0
Gut microbiome abundance (class [Eubacterium] oxidoreducens  sp. (at 3 months) x Any household furry Pets (3 Months)  interaction,3,0,3,0,3,3
Gut microbiome abundance (class Klebsiella oxytoca (at 3 months) x Vaginal Birth interaction,3,0,3,0,3,3
Gut microbiome abundance (class Bifidobacterium catenulatum (at 3 months) x Exclusive Breastfeeding (3 Months) interaction,3,0,3,0,3,3
Gut microbiome abundance (class Bifidobacterium longum 1 (at 3 months) x Homesmokers interaction,3,0,3,0,3,3
CD27 on memory B cell,3,3,0,0,3,0
CD25 on transitional B cell,3,3,0,0,3,0
RNF41/USP8 protein level ratio,3,3,0,0,3,0
ROBO2/SFTPD protein level ratio,3,3,0,0,3,0
X-15486 levels,3,2,1,0,3,1
X-12689 levels,3,3,0,0,3,0
TMEM39B protein levels,3,3,0,0,3,0
CA13/LACTB2 protein level ratio,3,3,0,0,3,0
CA13/USP8 protein level ratio,3,3,0,0,3,0
OTU97_2 (Bacteroides) prevalence,3,3,0,0,3,0
Serum levels of protein SCIN,3,3,0,0,3,0
Serum levels of protein SEC11C,3,3,0,0,3,0
Serum levels of protein SEL1L2,3,3,0,0,3,0
Serum levels of protein DPP7,3,3,0,0,3,0
CA5A/GSTA1 protein level ratio,3,3,0,0,3,0
Immunoglobulin N-glycan 11 levels,3,3,0,0,3,0
Prothrombin fragments F1+2 levels in ischemic stroke,3,3,0,0,3,0
X-15469 levels,3,3,0,0,3,0
CD25 on IgD+ CD38- B cell,3,3,0,0,3,0
CD25 on IgD+ CD38dim B cell,3,3,0,0,3,0
CD25 on IgD- CD24- B cell,3,3,0,0,3,0
CD25 on IgD- CD27- B cell,3,3,0,0,3,0
CD25 on IgD- CD38dim B cell,3,3,0,0,3,0
"Ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0) levels",3,3,0,0,3,0
"Sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0) levels",3,1,2,0,3,2
Obsessive-compulsive disorder x sex interaction,3,3,0,0,3,0
CAG-822 abundance in stool,3,3,0,0,3,0
Bile salt-activated lipase levels (CEL.9796.4.3),3,3,0,0,3,0
Matrix metalloproteinase levels,3,3,0,0,3,0
"Glycosyl ceramide (d16:1/24:1, d18:1/22:1) levels",3,3,0,0,3,0
"Ceramide (d18:1/14:0, d16:1/16:0) levels",3,2,1,0,3,1
IL-6 levels in metastatic colorectal cancer,3,3,0,0,3,0
PDGF-AA levels in metastatic colorectal cancer,3,3,0,0,3,0
ENO2/PLXNA4 protein level ratio,3,3,0,0,3,0
PlGF levels in metastatic colorectal cancer,3,3,0,0,3,0
CD20 on IgD- CD38- B cell,3,3,0,0,3,0
CD20 on transitional B cell,3,3,0,0,3,0
CD24 on unswitched memory B cell,3,3,0,0,3,0
Behenoylcarnitine (C22) levels,3,1,2,0,3,2
(S)-3-hydroxybutyrylcarnitine levels,3,1,2,0,3,2
RR interval (tricyclic/tetracyclic antidepressant use interaction),3,3,0,0,3,0
SEMA4B protein levels,3,3,0,0,3,0
CD25 on B cell,3,3,0,0,3,0
CD45RA+ CD8+ T cell %T cell,3,3,0,0,3,0
Facial morphology (segment 48),3,3,0,0,3,0
Body fat percentage and fasting glucose (pairwise),3,0,3,0,3,3
Body fat percentage and coronary artery disease (pairwise),3,0,3,0,3,3
Melanoma-associated antigen 8 levels,3,3,0,0,3,0
Schizophrenia and type 2 diabetes,3,3,0,0,3,0
Coronary artery disease and LDL cholesterol levels (multivariate analysis),3,3,0,0,3,0
Coronary artery disease and triglyceride levels (multivariate analysis),3,3,0,0,3,0
Serum levels of protein SERPINA11,3,3,0,0,3,0
Asthma or peptic ulcer disease (MTAG),3,3,0,0,3,0
"C-reactive protein (CRP, dL, minimum, inv-norm transformed)",3,3,0,0,3,0
"C-reactive protein (CRP, L, minimum, inv-norm transformed)",3,3,0,0,3,0
"Biological Father:  Cancer, Lung",3,3,0,0,3,0
PANX2 protein levels,3,3,0,0,3,0
CALCOCO1/METAP2 protein level ratio,3,3,0,0,3,0
EFEMP1/IL18BP protein level ratio,3,3,0,0,3,0
EFNA4/LAYN protein level ratio,3,3,0,0,3,0
Serum levels of protein STX7,3,3,0,0,3,0
Facial morphology (segment 13),3,3,0,0,3,0
N-acetyl neuraminic acid levels,3,3,0,0,3,0
EFNA4/SCARB2 protein level ratio,3,3,0,0,3,0
EFNA4/TNFRSF10A protein level ratio,3,3,0,0,3,0
EFNA4/TNFRSF10B protein level ratio,3,3,0,0,3,0
Right eye retinal fundus image self-supervised embedding endophenotype 47,3,3,0,0,3,0
Right eye retinal fundus image self-supervised embedding endophenotype 50,3,3,0,0,3,0
"C-reactive protein (CRP, dL, mean, inv-norm transformed)",3,3,0,0,3,0
X-16964 levels,3,3,0,0,3,0
Survival in colorectal cancer (distant metastatic),3,3,0,0,3,0
Lactate dehydrogenase levels in off-statin users,3,3,0,0,3,0
Periodontal disease related phenotype (PCT3),3,3,0,0,3,0
ICD10 O00: Ectopic pregnancy,3,3,0,0,3,0
Neurensin-1 levels (NRSN1.11654.77.3),3,3,0,0,3,0
Neurexin-1 levels (NRXN1.8971.9.3),3,3,0,0,3,0
Brain cytoarchitecture,3,3,0,0,3,0
Serum levels of protein SULF2,3,3,0,0,3,0
Serum levels of protein SULT4A1,3,3,0,0,3,0
Serum levels of protein ST6GALNAC1,3,3,0,0,3,0
Sporadic miscarriage,3,0,3,0,3,3
TestASV_31 (Ruminococcus) abundance,3,3,0,0,3,0
MYL4 protein levels,3,3,0,0,3,0
MYOM2 protein levels,3,3,0,0,3,0
CD45RA- CD4+ T cell %T cell,3,3,0,0,3,0
ISX protein levels,3,3,0,0,3,0
Proteasome activator complex subunit 1 levels (PSME1.5918.5.3),3,3,0,0,3,0
Response to statins (HDL cholesterol change),3,3,0,0,3,0
Serum levels of protein SYNCRIP,3,3,0,0,3,0
CAG-495 abundance in stool,3,3,0,0,3,0
Facial morphology (segment 26),3,3,0,0,3,0
Facial morphology (segment 38),3,3,0,0,3,0
G_Sutterella prevalence,3,3,0,0,3,0
G_Paraprevotella prevalence,3,3,0,0,3,0
G_Prevotella prevalence,3,3,0,0,3,0
Ideal cardiovascular health (clinical and behavioral),3,3,0,0,3,0
X-18888 levels,3,2,1,0,3,1
Systolic blood pressure x long total sleep time interaction (main effect),3,0,3,0,3,3
Diastolic blood pressure x short total sleep time interaction (2df),3,0,3,0,3,3
Diastolic blood pressure x short total sleep time interaction (1df),3,0,3,0,3,3
Terminally Differentiated CD8+ T cell %CD8+ T cell,3,3,0,0,3,0
Neuropeptide W levels (NPW.9986.14.3),3,3,0,0,3,0
Cerebrovascular disease,3,0,3,0,3,3
Hard cheese liking,3,3,0,0,3,0
Orange juice liking,3,3,0,0,3,0
Treatment resistance (predicted) in major depressive disorder,3,3,0,0,3,0
Effector Memory CD4+ T cell %T cell,3,3,0,0,3,0
CAG-776 sp000438195 abundance in stool,3,3,0,0,3,0
CAG-776 abundance in stool,3,3,0,0,3,0
Serum levels of protein TMEM132B,3,3,0,0,3,0
Naive CD8+ T cell Absolute Count,3,3,0,0,3,0
PTPRM/SELE protein level ratio,3,3,0,0,3,0
N-oleoyltaurine levels,3,1,2,0,3,2
Croissant liking,3,3,0,0,3,0
ITLN1 protein levels,3,3,0,0,3,0
Vegetables liking,3,3,0,0,3,0
Soft cheese liking,3,3,0,0,3,0
CD24+ CD27+ B cell %B cell,3,3,0,0,3,0
IgD+ CD38- B cell %lymphocyte,3,3,0,0,3,0
Serum levels of protein TIRAP,3,3,0,0,3,0
Serum levels of protein UMOD,3,3,0,0,3,0
OTU97_113 (Bacteroidales) prevalence,3,3,0,0,3,0
OTU97_126 (Prevotella) prevalence,3,3,0,0,3,0
OTU97_257 (Mitsuokella) prevalence,3,3,0,0,3,0
MMP13 protein levels,3,3,0,0,3,0
MYBPC2 protein levels,3,3,0,0,3,0
Memory B cell %lymphocyte,3,3,0,0,3,0
BTN2A1/IL10RB protein level ratio,3,3,0,0,3,0
BTN2A1/LILRB4 protein level ratio,3,3,0,0,3,0
Retinal thickness (pixel 118_186),3,0,3,0,3,3
CA2/DNPH1 protein level ratio,3,3,0,0,3,0
CA2/HMBS protein level ratio,3,3,0,0,3,0
CA2/TGM2 protein level ratio,3,3,0,0,3,0
ENO1/PTPN6 protein level ratio,3,3,0,0,3,0
ENO1/RWDD1 protein level ratio,3,3,0,0,3,0
Serum levels of protein UQCC3,3,3,0,0,3,0
Serum levels of protein TXNRD1,3,3,0,0,3,0
Serum levels of protein TIGAR,3,3,0,0,3,0
ENO1/VTA1 protein level ratio,3,3,0,0,3,0
Right eye retinal fundus image self-supervised embedding endophenotype 53,3,3,0,0,3,0
Atrial fibrillation (single event),3,3,0,0,3,0
Low-grade serous epithelial ovarian cancer,3,3,0,0,3,0
BTN2A1/PIK3IP1 protein level ratio,3,3,0,0,3,0
BTN2A1/SMOC2 protein level ratio,3,3,0,0,3,0
IgD+ CD38- B cell %B cell,3,3,0,0,3,0
Retinal thickness (pixel 68_121),3,0,3,0,3,3
EIF4G1/FKBP5 protein level ratio,3,3,0,0,3,0
ENO2/PRSS27 protein level ratio,3,3,0,0,3,0
SCAMP3/VPS53 protein level ratio,3,3,0,0,3,0
Natural Killer %CD3- lymphocyte,3,3,0,0,3,0
HLA DR+ Natural Killer Absolute Count,3,3,0,0,3,0
HLA DR+ Natural Killer  %CD3- lymphocyte,3,3,0,0,3,0
Granulocyte Absolute Count,3,3,0,0,3,0
IgD+ CD38- B cell Absolute Count,3,3,0,0,3,0
