Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Insulin-like growth factor 1 levels,443,8,435,0,443,435
Fluid intelligence score (baseline),439,439,0,0,439,0
Gamma glutamyl transpeptidase,437,437,0,0,437,0
FEV1,437,437,0,0,437,0
"Gut microbiota (bacterial taxa, hurdle binary method)",437,437,0,0,437,0
Brain region volumes,435,435,0,0,435,0
Triglyceride levels (MTAG),435,435,0,0,435,0
Aortic stenosis,431,23,408,0,431,408
Type 2 diabetes (PheCode 250.2),429,429,0,0,429,0
Weight (UKB data field 21002),426,426,0,0,426,0
Balding type 1,424,424,0,0,424,0
Alzheimer's disease,423,420,3,0,423,3
Mean arterial pressure,422,330,92,0,422,92
Triglyceride levels in non-type 2 diabetes,422,422,0,0,422,0
Blood urea nitrogen levels,417,160,257,0,417,257
Systemic lupus erythematosus,414,414,0,0,414,0
Basophil count,414,155,259,0,414,259
Fasting blood glucose,412,402,10,0,412,10
Ulcerative colitis,411,233,170,8,403,178
Cystatin C levels in bottom 99% of individuals by creatinine levels,411,411,0,0,411,0
Serum uric acid levels,410,406,4,0,410,4
Telomere length (principal component 1),410,0,410,0,410,410
Free testosterone levels,410,410,0,0,410,0
Lumbar disc herniation,405,405,0,0,405,0
"platelet count (minimum, inv-norm transformed)",404,404,0,0,404,0
"platelet count (maximum, inv-norm transformed)",403,403,0,0,403,0
Gut microbial network clusters (Salmon (at 1 year) x Household furry pet dog (3 Months) interaction,403,0,403,0,403,403
Concentration of large HDL particles,402,78,324,0,402,324
Body fat percentage,401,358,43,0,401,43
Basal metabolic rate (UKB data field 23105),401,401,0,0,401,0
Triglyceride to phosphoglyceride ratio,398,128,270,0,398,270
BMI and adiposity (confirmatory factor analysis Factor 7),397,397,0,0,397,0
Uterine fibroids,394,58,336,0,394,336
Low-density lipoprotein levels (MTAG),394,394,0,0,394,0
Reticulocyte percentage (UKB data field 30240),393,393,0,0,393,0
Body size at age 10,393,393,0,0,393,0
Whole brain restricted isotropic diffusion (multivariate analysis),393,393,0,0,393,0
Vertical cup-disc ratio,393,339,54,0,393,54
Age at first sexual intercourse,390,390,0,0,390,0
Omega-3 fatty acids to Omega-6 fatty acids ratio,388,0,388,0,388,388
Lung function (FEV1),386,106,280,0,386,280
Reticulocyte count (UKB data field 30250),385,385,0,0,385,0
Corneal resistance factor (MTAG),384,384,0,0,384,0
Venous thromboembolism,384,164,220,0,384,220
"Weight (maximum, inv-normal transformed)",382,382,0,0,382,0
Cholesteryl Esters in Large HDL,381,41,340,0,381,340
Rheumatoid arthritis,381,183,189,9,372,198
Free Cholesterol to Cholesteryl Esters in Very Large HDL ratio,380,380,0,0,380,0
LDL cholesterol levels,380,258,117,5,375,122
"Weight (mean, inv-normal transformed)",379,379,0,0,379,0
Eosinophill count (UKB data field 30150),378,378,0,0,378,0
Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy),377,377,0,0,377,0
Primary open angle glaucoma (multi-trait analysis),377,377,0,0,377,0
Impedance of arm right (UKB data field 23109),372,372,0,0,372,0
Average diameter for HDL particles,372,83,289,0,372,289
Cystatin C levels,371,7,363,1,370,364
Liver enzyme levels (alkaline phosphatase),370,352,18,0,370,18
BMI (standard GWA),370,370,0,0,370,0
"mean corpuscular volume (MCV, mean, inv-norm transformed)",368,368,0,0,368,0
Astrocytoma (high-grade),367,367,0,0,367,0
Cholesterol in Large HDL,366,40,326,0,366,326
"mean corpuscular hemoglobin (MCH, mean, inv-norm transformed)",363,363,0,0,363,0
LDL cholesterol,363,347,16,0,363,16
Impedance of arm left (UKB data field 23110),362,362,0,0,362,0
Cholesterol to Total Lipids in Large HDL percentage,361,37,324,0,361,324
General risk tolerance (MTAG),360,360,0,0,360,0
Omega-3 fatty acids to total fatty acids percentage,359,0,359,0,359,359
"mean corpuscular hemoglobin (MCH, maximum, inv-norm transformed)",358,358,0,0,358,0
Atopic dermatitis,356,356,0,0,356,0
"mean corpuscular volume (MCV, minimum, inv-norm transformed)",356,356,0,0,356,0
Lymphocyte percentage (UKB data field 30180),355,355,0,0,355,0
QT interval,355,73,282,0,355,282
Waist circumference,355,256,99,0,355,99
Abdominal size (multivariate analysis),353,353,0,0,353,0
Haematocrit percentage (UKB data field 30030),353,353,0,0,353,0
"white blood cell count (WBC, mean, inv-norm transformed)",353,353,0,0,353,0
Cholesterol levels in very large HDL,353,64,289,0,353,289
Apparent treatment-resistant hypertension,352,352,0,0,352,0
